OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE,Select
202,0,12,2,1,0,0,0,0,0,1168,0,2,4,0,0,1,0,0,3,1,0,27,0,0,1,1,1,1,0,0,1,1
203,3,27,3,0,0,0,0,0,1,5117,0,3,3,0,1,0,0,0,4,0,0,26,0,0,1,2,2,1,0,0,1,1
204,0,12,2,0,0,0,0,0,0,902,0,3,4,0,0,1,0,0,4,0,0,21,0,1,0,1,2,1,0,0,0,1
205,3,12,4,1,0,0,0,0,0,1495,0,4,4,0,1,0,0,0,1,1,0,38,0,0,1,2,1,2,0,0,1,1
206,0,30,4,0,1,0,0,0,0,10623,0,4,3,0,1,0,0,0,4,0,1,38,0,0,0,3,3,2,1,0,1,1
208,1,12,4,0,0,0,0,0,0,1424,0,3,4,0,1,0,0,0,3,0,0,26,0,0,1,1,2,1,0,0,1,1
209,0,24,2,0,0,0,0,0,1,6568,0,2,2,0,0,1,0,0,2,0,0,21,1,0,1,1,1,1,0,0,1,1
211,3,9,4,0,0,0,1,0,0,3074,4,2,1,0,1,0,0,0,2,1,0,33,0,0,1,2,2,2,0,0,1,1
212,3,36,2,0,0,0,1,0,0,3835,4,4,2,0,0,0,0,0,4,1,0,45,0,0,1,1,1,1,1,0,1,1
214,2,30,3,0,0,0,0,0,1,1908,0,4,4,0,1,0,0,0,4,1,0,66,0,0,1,1,3,1,1,0,0,1
216,1,6,4,0,0,0,0,0,0,932,4,3,1,0,0,0,0,0,3,0,0,39,0,0,1,2,1,1,0,0,1,1
217,0,18,0,0,0,0,0,0,1,3104,0,3,3,0,1,0,0,0,1,0,0,31,1,0,1,1,2,1,1,0,1,1
219,0,24,2,0,0,1,0,0,0,3021,0,2,2,1,0,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,1,1
220,3,10,2,1,0,0,0,0,0,1364,0,2,2,0,0,0,0,0,4,0,0,64,0,0,1,1,2,1,1,0,1,1
221,1,12,2,0,0,0,1,0,0,625,0,1,4,0,0,1,0,1,1,1,0,26,1,0,1,1,1,1,0,0,1,1
222,0,12,2,0,0,0,0,1,0,1200,4,2,4,0,0,0,0,0,4,0,0,23,1,1,0,1,2,1,1,0,1,1
223,3,12,2,0,0,0,1,0,0,707,0,2,4,0,1,0,0,0,2,1,0,30,1,0,1,2,2,1,0,0,1,1
224,3,24,3,0,0,0,0,0,1,2978,4,2,4,0,1,0,0,0,4,1,0,32,0,0,1,2,2,2,1,0,1,1
225,3,15,2,0,1,0,0,0,0,4657,0,2,3,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,1,0,1,1
226,3,36,0,0,0,0,0,0,0,2613,0,2,4,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,1,1
227,1,48,2,0,0,0,1,0,0,10961,3,3,1,0,1,0,1,0,2,0,1,27,1,0,1,2,2,1,1,0,0,1
228,0,12,2,0,0,1,0,0,0,7865,0,4,4,0,1,0,0,0,4,0,1,53,0,0,0,1,3,1,1,0,0,1
230,0,24,2,0,0,1,0,0,0,3149,0,1,4,0,1,0,0,0,1,0,1,22,1,0,0,1,2,1,0,0,1,1
232,3,9,2,1,0,0,0,0,0,2507,2,4,2,0,1,0,0,0,4,0,1,51,0,0,0,1,1,1,0,0,1,1
233,3,12,2,0,0,0,1,0,0,2141,1,3,3,0,1,0,0,0,1,0,1,35,0,0,1,1,2,1,0,0,1,1
234,1,18,2,0,0,0,1,0,0,866,0,2,4,0,0,1,0,1,2,1,0,25,0,0,1,1,1,1,0,0,1,1
235,3,4,4,0,0,0,1,0,0,1544,0,3,2,0,1,0,0,0,1,1,0,42,0,0,1,3,1,2,0,0,1,1
236,0,24,2,0,0,0,1,0,0,1823,0,0,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,2,0,0,0,1
237,1,6,2,1,0,0,0,0,0,14555,4,0,1,0,1,0,0,0,2,0,0,23,0,0,1,1,0,1,1,0,0,1
238,1,21,2,0,0,0,0,0,1,2767,1,4,4,1,0,0,0,0,2,0,0,61,1,1,0,2,1,1,0,0,0,1
239,3,12,4,0,0,0,1,0,0,1291,0,2,4,0,0,0,0,0,2,0,0,35,0,0,1,2,2,1,0,0,1,1
240,0,30,2,0,0,0,1,0,0,2522,0,4,1,0,1,0,0,1,3,0,0,39,0,0,1,1,2,2,0,0,1,1
241,0,24,2,1,0,0,0,0,0,915,4,4,4,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0,0,1
242,3,6,2,0,0,0,1,0,0,1595,0,3,3,0,1,0,0,0,2,0,0,51,0,0,1,1,2,2,0,0,1,1
243,0,48,0,0,1,0,0,0,0,4605,0,4,3,0,1,0,0,0,4,0,1,24,0,0,0,2,2,2,0,0,0,1
244,3,12,4,0,0,0,0,0,1,1185,0,2,3,0,0,0,0,0,2,1,0,27,0,0,1,2,2,1,0,0,1,1
245,3,12,1,0,0,0,0,0,0,3447,2,2,4,0,0,0,0,0,3,1,0,35,0,0,1,1,1,2,0,0,1,1
246,3,24,2,0,0,0,0,0,1,1258,0,3,4,0,1,0,0,0,1,1,0,25,0,0,1,1,2,1,1,0,1,1
247,3,12,4,0,0,0,1,0,0,717,0,4,4,0,1,0,0,0,4,1,0,52,0,0,1,3,2,1,0,0,1,1
248,3,6,0,1,0,0,0,0,0,1204,1,2,4,0,1,0,0,0,1,0,1,35,1,1,0,1,2,1,0,1,1,1
249,2,24,2,0,0,1,0,0,0,1925,0,2,2,0,1,0,0,0,2,1,0,26,0,0,1,1,2,1,0,0,1,1
250,3,18,2,0,0,0,1,0,0,433,0,0,3,0,0,0,1,0,4,1,0,22,0,1,0,1,2,1,0,0,0,1
251,0,6,4,1,0,0,0,0,0,666,3,3,3,0,0,0,0,0,4,1,0,39,0,0,1,2,1,1,1,0,1,1
253,1,30,2,1,0,0,0,0,0,2150,0,2,4,0,0,0,0,1,2,0,1,24,1,0,1,1,2,1,0,0,0,1
254,3,24,3,0,0,1,0,0,0,4151,1,2,2,0,1,0,0,0,3,0,0,35,0,0,1,2,2,1,0,0,1,1
255,1,9,2,0,0,1,0,0,0,2030,4,3,2,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,1,0,1,1
258,0,12,1,0,0,0,1,0,0,2149,0,2,4,1,0,0,0,0,1,0,1,29,0,0,0,1,2,1,0,0,0,1
259,3,15,2,0,1,0,0,0,0,3812,1,1,1,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,1,1
260,3,11,4,0,0,0,1,0,0,1154,1,0,4,0,0,0,0,0,4,1,0,57,0,0,1,3,1,1,0,0,1,1
261,0,12,2,0,0,1,0,0,0,1657,0,2,2,0,1,0,0,0,2,1,0,27,0,0,1,1,2,1,0,0,1,1
262,0,24,2,0,0,0,1,0,0,1603,0,4,4,0,0,0,0,0,4,0,0,55,0,0,1,1,2,1,0,0,1,1
263,0,18,4,1,0,0,0,0,0,5302,0,4,2,0,1,0,0,0,4,0,1,36,0,0,0,3,3,1,1,0,1,1
264,3,12,4,0,0,0,0,1,0,2748,0,4,2,0,0,0,0,0,4,0,1,57,1,0,0,3,1,1,0,0,1,1
265,3,10,4,1,0,0,0,0,0,1231,0,4,3,0,1,0,0,0,4,1,0,32,0,0,1,2,1,2,0,1,1,1
266,1,15,2,0,0,0,1,0,0,802,0,4,4,0,1,0,0,0,3,0,0,37,0,0,1,1,2,2,0,0,0,1
267,3,36,4,0,0,0,0,0,1,6304,4,4,4,0,1,0,0,0,4,1,0,36,0,0,1,2,2,1,0,0,1,1
268,3,24,2,0,0,0,1,0,0,1533,0,1,4,0,0,0,0,0,3,0,0,38,1,0,1,1,2,1,1,0,1,1
269,0,14,2,1,0,0,0,0,0,8978,0,4,1,1,0,0,0,0,4,0,0,45,0,0,1,1,3,1,1,1,0,1
271,3,18,2,1,0,0,0,0,0,2662,4,3,4,0,1,0,0,0,3,0,0,32,0,0,1,1,2,1,0,1,1,1
274,1,48,2,0,0,0,1,0,0,3060,0,3,4,0,1,0,0,0,4,1,0,28,0,0,1,2,2,1,0,0,0,1
275,0,30,2,0,0,0,0,0,0,11998,0,1,1,1,0,0,0,0,1,0,1,34,0,0,1,1,1,1,1,0,0,1
277,3,18,4,0,0,0,1,0,0,2404,0,2,2,0,0,0,0,0,2,0,0,26,0,0,1,2,2,1,0,0,1,1
278,0,12,2,0,0,1,0,0,0,1262,4,4,2,1,0,0,0,0,4,0,0,49,0,0,1,1,1,1,1,0,1,1
281,3,15,4,0,1,0,0,0,0,3368,3,4,3,0,1,0,0,0,4,0,1,23,0,1,0,2,2,1,1,0,1,1
282,3,12,2,0,0,1,0,0,0,1574,0,2,4,0,1,0,0,0,2,1,0,50,0,0,1,1,2,1,0,0,1,1
283,2,18,1,0,0,0,1,0,0,1445,4,3,4,0,1,0,0,0,4,0,0,49,1,0,1,1,1,1,0,0,1,1
284,3,15,4,0,0,1,0,0,0,1520,4,4,4,0,1,0,0,0,4,0,0,63,0,0,1,1,2,1,0,0,1,1
285,1,24,4,1,0,0,0,0,0,3878,1,1,4,1,0,0,0,0,2,0,0,37,0,0,1,1,2,1,1,0,1,1
287,0,48,2,0,1,0,0,0,0,4788,0,3,4,0,1,0,0,0,3,0,0,26,0,0,1,1,2,2,0,0,1,1
288,1,48,3,0,0,0,0,0,0,7582,1,0,2,0,1,0,0,0,4,0,1,31,0,0,0,1,3,1,1,0,1,1
289,1,12,2,0,0,0,1,0,0,1092,0,2,4,0,0,0,0,1,4,1,0,49,0,0,1,2,2,1,1,0,1,1
290,0,24,3,0,0,0,1,0,0,1024,0,1,4,0,0,1,0,0,4,1,0,48,1,0,1,1,2,1,0,0,0,1
291,3,12,2,0,0,0,0,0,1,1076,0,2,2,0,0,1,0,0,2,1,0,26,0,0,1,1,2,1,1,1,1,1
292,1,36,2,0,1,0,0,0,0,9398,0,1,1,0,0,1,0,0,4,0,0,28,0,1,0,1,3,1,1,0,0,1
293,0,24,4,0,1,0,0,0,0,6419,0,4,2,0,0,0,0,0,4,0,1,44,0,0,0,2,3,2,1,0,1,1
294,2,42,4,0,1,0,0,0,0,4796,0,4,4,0,1,0,0,0,4,0,1,56,0,0,0,1,2,1,0,0,1,1
295,3,48,4,0,0,0,0,0,1,7629,4,4,4,1,0,0,0,0,2,0,0,46,1,0,1,2,3,2,0,0,1,1
296,1,48,2,0,0,1,0,0,0,9960,0,1,1,0,0,0,0,0,2,0,0,26,0,0,1,1,2,1,1,0,0,1
297,3,12,2,0,1,0,0,0,0,4675,4,1,1,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,1,1
298,3,10,2,1,0,0,0,0,0,1287,4,4,4,0,1,0,1,0,2,0,0,45,0,0,1,1,1,1,0,1,1,1
299,3,18,2,0,0,1,0,0,0,2515,0,2,3,0,1,0,0,0,4,1,0,43,0,0,1,1,2,1,1,0,1,1
300,1,21,4,0,0,1,0,0,0,2745,3,3,3,0,1,0,0,0,2,0,0,32,0,0,1,2,2,1,1,0,1,1
301,3,6,2,1,0,0,0,0,0,672,0,0,1,0,0,0,0,0,4,1,0,54,0,0,1,1,0,1,1,0,1,1
302,1,36,0,0,0,0,1,0,0,3804,0,2,4,0,0,0,0,0,1,0,0,42,0,0,1,1,2,1,1,0,0,1
303,2,24,4,1,0,0,0,0,0,1344,4,3,4,0,1,0,0,0,2,1,0,37,1,0,1,2,1,2,0,0,0,1
304,0,10,4,1,0,0,0,0,0,1038,0,3,4,0,1,0,1,0,3,0,0,49,0,0,1,2,2,1,1,0,1,1
305,3,48,4,1,0,0,0,0,0,10127,2,2,2,0,1,0,0,0,2,0,1,44,1,0,0,1,2,1,0,0,0,1
306,3,6,2,0,0,1,0,0,0,1543,3,2,4,1,0,0,0,0,2,1,0,33,0,0,1,1,2,1,0,0,1,1
307,3,30,2,0,1,0,0,0,0,4811,4,3,2,0,0,0,0,0,4,0,0,24,1,1,0,1,1,1,0,0,1,1
308,0,12,2,0,0,0,1,0,0,727,1,1,4,0,0,1,0,0,3,0,1,33,0,0,1,1,1,1,1,0,0,1
309,1,8,2,0,0,1,0,0,0,1237,0,2,3,0,0,0,0,0,4,1,0,24,0,0,1,1,2,1,0,0,0,1
310,1,9,2,1,0,0,0,0,0,276,0,2,4,0,0,1,0,0,4,1,0,22,0,1,0,1,1,1,0,0,1,1
312,3,24,2,0,0,1,0,0,0,5511,1,2,4,0,1,0,0,0,1,0,0,25,1,0,1,1,2,1,0,0,1,1
313,2,24,2,0,0,1,0,0,0,3749,0,1,2,0,0,0,0,0,4,0,0,26,0,0,1,1,2,1,0,0,1,1
314,1,12,2,1,0,0,0,0,0,685,0,3,2,0,0,1,0,0,3,0,0,25,1,0,1,1,1,1,0,0,0,1
315,2,4,2,1,0,0,0,0,0,1494,4,1,1,0,1,0,0,0,2,1,0,29,0,0,1,1,1,2,0,1,1,1
316,0,36,1,0,0,1,0,0,0,2746,0,4,4,0,1,0,0,0,4,0,0,31,1,0,1,1,2,1,0,0,0,1
317,0,12,2,0,0,1,0,0,0,708,0,2,2,0,1,0,0,1,3,0,0,38,0,0,1,1,1,2,0,0,1,1
318,1,24,2,0,0,1,0,0,0,4351,4,2,1,0,0,0,0,0,4,0,0,48,0,0,1,1,1,1,1,0,1,1
319,3,12,4,0,0,0,0,1,0,701,0,2,4,0,1,0,0,0,2,0,0,32,0,0,1,2,2,1,0,0,1,1
320,0,15,3,0,0,1,0,0,0,3643,0,4,1,0,0,0,0,0,4,0,0,27,0,0,1,2,1,1,0,0,1,1
321,1,30,4,1,0,0,0,0,0,4249,0,0,4,0,0,1,0,0,2,0,0,28,0,0,1,2,3,1,0,0,0,1
322,0,24,2,0,0,0,1,0,0,1938,0,1,4,1,0,0,0,0,3,0,0,32,0,0,1,1,2,1,0,0,0,1
323,0,24,2,0,1,0,0,0,0,2910,0,3,2,0,1,0,0,0,1,0,1,34,0,0,0,1,3,1,1,0,1,1
324,0,18,2,0,0,1,0,0,0,2659,3,2,4,0,1,0,0,0,2,0,0,28,0,0,1,1,2,1,0,0,1,1
325,3,18,4,1,0,0,0,0,0,1028,0,2,4,0,0,0,0,0,3,1,0,36,0,0,1,2,2,1,0,0,1,1
326,0,8,4,1,0,0,0,0,0,3398,0,3,1,0,1,0,0,0,4,1,0,39,0,0,1,2,1,1,0,1,1,1
328,3,24,2,1,0,0,0,0,0,1525,3,3,4,0,0,0,0,0,3,0,0,34,0,0,1,1,2,2,1,0,1,1
329,2,36,2,0,0,0,1,0,0,4473,0,4,4,0,1,0,0,0,2,0,0,31,0,0,1,1,2,1,0,0,1,1
330,1,6,2,0,0,0,1,0,0,1068,0,4,4,0,1,0,0,0,4,0,0,28,0,0,1,1,2,2,0,0,1,1
331,0,24,4,0,1,0,0,0,0,6615,0,0,2,0,1,0,0,0,4,0,1,75,0,0,0,2,3,1,1,0,1,1
332,3,18,4,0,0,0,0,1,0,1864,1,2,4,0,0,0,0,0,2,1,0,30,0,0,1,2,2,1,0,0,0,1
334,3,48,4,0,1,0,0,0,0,11590,1,2,2,0,0,0,0,0,4,0,0,24,1,1,0,2,1,1,0,0,0,1
335,0,24,0,0,0,1,0,0,0,4110,0,4,3,0,1,0,0,0,4,0,1,23,1,1,0,2,2,2,0,0,0,1
336,0,6,4,0,0,1,0,0,0,3384,0,2,1,1,0,0,0,0,4,1,0,44,0,1,0,1,3,1,1,0,0,1
337,1,13,2,0,0,0,1,0,0,2101,0,1,2,0,0,0,0,1,4,0,0,23,0,0,1,1,1,1,0,0,1,1
338,0,15,2,0,0,0,0,0,0,1275,4,2,4,0,0,0,0,0,2,0,0,24,0,1,0,1,2,1,0,0,0,1
339,0,24,2,0,0,1,0,0,0,4169,0,2,4,0,1,0,0,0,4,0,0,28,0,0,1,1,2,1,0,0,1,1
340,1,10,2,0,0,1,0,0,0,1521,0,2,4,1,0,0,0,0,2,0,0,31,0,0,1,1,1,1,0,0,1,1
342,0,21,2,0,0,1,0,0,0,3599,0,3,1,0,0,0,0,0,4,0,0,26,0,1,0,1,1,1,0,0,1,1
343,1,18,2,0,0,0,1,0,0,3213,2,1,1,0,0,1,0,0,3,1,0,25,0,1,0,1,2,1,0,0,1,1
344,1,18,2,0,0,0,0,0,1,4439,0,4,1,0,1,0,1,0,1,1,0,33,1,0,1,1,3,1,1,0,1,1
345,2,10,2,1,0,0,0,0,0,3949,0,1,1,0,1,0,0,1,1,0,0,37,0,0,1,1,1,2,0,0,1,1
347,1,13,4,0,0,0,1,0,0,882,0,1,4,0,1,0,0,1,4,1,0,23,0,0,1,2,2,1,0,0,1,1
348,1,24,2,0,0,0,1,0,0,3758,2,0,1,0,0,0,0,0,4,0,1,23,0,1,0,1,0,1,0,0,1,1
350,1,9,4,0,0,0,0,1,0,1136,3,4,4,0,1,0,0,0,3,0,1,32,0,0,0,2,2,2,0,0,0,1
351,3,9,2,0,0,0,0,0,0,1236,0,1,1,0,0,0,0,0,4,1,0,23,0,1,0,1,2,1,1,0,1,1
353,3,18,4,0,1,0,0,0,0,3229,4,0,2,0,1,0,0,0,4,0,1,38,0,0,1,1,3,1,1,0,1,1
354,0,12,0,0,0,0,1,0,0,6199,0,2,4,0,1,0,0,0,2,0,0,28,0,1,0,2,2,1,1,0,0,1
355,3,10,2,0,0,0,0,1,0,727,2,4,4,0,1,0,0,0,4,0,1,46,0,0,0,1,2,1,1,0,1,1
358,3,36,3,0,0,0,1,0,0,4463,0,2,4,0,1,0,0,0,2,0,0,26,0,0,1,2,3,1,1,0,0,1
359,3,12,2,0,0,0,1,0,0,776,0,2,4,0,0,1,0,0,2,1,0,28,0,0,1,1,2,1,0,0,1,1
360,0,30,2,0,0,1,0,0,0,2406,0,3,4,0,0,0,0,0,4,1,0,23,0,1,0,1,2,1,0,0,0,1
361,1,18,2,0,0,0,0,1,0,1239,4,2,4,0,1,0,0,0,4,0,1,61,0,0,0,1,2,1,0,0,1,1
362,2,12,2,0,0,0,1,0,0,3399,4,4,2,0,1,0,0,0,3,0,0,37,0,0,1,1,3,1,0,0,1,1
364,3,6,2,0,0,1,0,0,0,1766,0,2,1,0,0,1,0,0,2,0,0,21,0,1,0,1,2,1,0,0,1,1
365,0,18,2,0,0,1,0,0,0,2473,0,0,4,0,1,0,0,0,1,0,0,25,0,0,1,1,0,1,0,0,0,1
366,3,12,2,0,0,0,0,0,1,1542,0,3,2,0,1,0,0,0,4,0,0,36,0,0,1,1,2,1,1,0,1,1
367,3,18,4,0,1,0,0,0,0,3850,0,3,3,0,1,0,0,0,1,0,0,27,0,0,1,2,2,1,0,0,1,1
368,0,18,2,0,0,1,0,0,0,3650,0,1,1,0,0,0,0,0,4,0,0,22,0,1,0,1,2,1,0,0,1,1
369,0,36,2,0,0,1,0,0,0,3446,0,4,4,0,1,0,0,0,2,0,0,42,0,0,1,1,2,2,0,0,0,1
371,3,36,2,1,0,0,0,0,0,3079,4,2,4,0,1,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,1,1
372,3,18,4,0,0,0,1,0,0,6070,0,4,3,0,1,0,0,0,4,0,0,33,0,0,1,2,2,1,1,0,1,1
373,3,10,4,0,0,1,0,0,0,2146,0,1,1,0,0,0,0,0,3,1,0,23,0,1,0,2,2,1,0,0,1,1
374,3,60,4,1,0,0,0,0,0,13756,4,4,2,0,1,0,0,0,4,0,1,63,1,0,0,1,3,1,1,0,1,1
375,1,60,1,0,0,0,0,0,0,14782,1,4,3,0,0,0,0,0,4,0,1,60,1,0,0,2,3,1,1,0,0,1
376,0,48,1,0,0,0,0,0,1,7685,0,3,2,0,0,0,0,1,4,0,0,37,0,1,0,1,2,1,0,0,0,1
377,3,18,3,0,0,0,1,0,0,2320,0,0,2,0,0,1,0,0,3,1,0,34,0,0,1,2,2,1,0,0,1,1
378,3,7,3,0,0,0,1,0,0,846,4,4,3,0,1,0,0,0,4,0,1,36,0,0,0,1,2,1,0,0,1,1
379,1,36,2,1,0,0,0,0,0,14318,0,4,4,0,1,0,0,0,2,0,1,57,0,0,0,1,3,1,1,0,0,1
380,3,6,4,1,0,0,0,0,0,362,1,2,4,0,0,0,0,0,4,0,0,52,0,0,1,2,1,1,0,0,1,1
383,3,22,2,1,0,0,0,0,0,1283,4,3,4,0,0,0,0,0,4,0,0,25,0,1,0,1,2,1,0,0,1,1
386,3,18,4,0,0,0,1,0,0,2238,0,2,2,0,0,0,0,0,1,0,0,25,0,0,1,2,2,1,0,0,1,1
388,1,18,4,0,0,1,0,0,0,7374,0,0,4,0,1,0,0,0,4,0,0,40,1,0,1,2,3,1,1,0,1,1
389,1,15,4,0,0,0,0,0,1,2326,2,2,2,0,1,0,0,0,4,0,0,27,1,0,1,1,2,1,0,0,1,1
390,3,9,2,0,0,0,0,0,1,1449,0,3,3,0,0,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,1,1
391,3,18,2,1,0,0,0,0,0,1820,0,2,2,0,0,1,0,0,2,0,0,30,0,0,1,1,3,1,1,0,1,1
392,1,12,2,0,0,1,0,0,0,983,3,1,1,0,0,0,0,0,4,1,0,19,0,1,0,1,1,1,0,0,1,1
393,0,36,2,1,0,0,0,0,0,3249,0,3,2,0,1,0,0,0,4,0,1,39,1,0,0,1,3,2,1,0,1,1
395,3,9,4,0,0,1,0,0,0,2406,0,0,2,0,1,0,0,0,3,0,0,31,0,0,1,1,3,1,0,0,1,1
